patent_id,title,abstract,claims,description,label
JP2020-001001,ガスバリア性包装用フィルム,熱可塑性樹脂フィルム基材層と酸化ケイ素蒸着層とポリビニルアルコール系樹脂と粘土鉱物を含む塗膜層を積層したガスバリア性に優れた包装用フィルムに関する。,熱可塑性樹脂フィルム基材層、酸化ケイ素蒸着層、ポリビニルアルコール系樹脂と粘土鉱物を含む塗膜層がこの順に積層されてなることを特徴とするガスバリア性包装用フィルム。熱可塑性樹脂がポリプロピレン、ポリエチレンテレフタレート、ナイロンから選ばれた請求項1記載のガスバリア性包装用フィルム。粘土鉱物がカオリナイト、モンモリロナイト、タルクから選ばれた請求項1記載のガスバリア性包装用フィルム。,ポリビニルアルコール水溶液にモンモリロナイトを加え60℃で75分間撹拌した。その後2-プロパノールを添加し混合液を室温まで冷却して塗工液を得た。熱可塑性フィルム基材として厚さ15μmのポリエチレンテレフタレートフィルムを用いこの一方の面上に酸化ケイ素を蒸着した。蒸着層の上に塗工液をグラビアコート法により形成しガスバリア性包装用フィルムを得た。得られたフィルムは優れたガスバリア性と透明性を有していた。,1
JP2020-001002,高バリア性積層フィルム,無機酸化物蒸着層とポリビニルアルコール系バリア層を組み合わせた高バリア性積層フィルムおよびその製造方法。,無機酸化物を蒸着した基材フィルムと、ポリビニルアルコール系樹脂を含むバリアコート層とを積層してなる積層フィルム。バリアコート層が無機板状粒子を含む請求項1記載の積層フィルム。基材フィルムがポリエチレンテレフタレートまたはナイロンフィルムである請求項1記載の積層フィルム。,基材フィルムとして厚さ12μmのポリエチレンテレフタレートフィルムを用いた。電子線蒸着法により酸化ケイ素を蒸着した後、ポリビニルアルコール水溶液にモンモリロナイト（クニピア-G）を分散させたコーティング液をグラビアロールコーターで塗布乾燥した。酸素透過率および水蒸気透過率を測定した結果、優れたガスバリア性を示した。,1
JP2020-001003,透明蒸着フィルム,アルミナ蒸着フィルムの製造方法および透明性・耐熱性に優れた包装材料。,アルミナを蒸着したポリエステルフィルム基材と、ポリビニルアルコール系コーティング層とを積層してなる透明蒸着フィルム。コーティング層がシランカップリング剤を含む請求項1記載の透明蒸着フィルム。,ポリエステルフィルム基材上に反応蒸着法によりアルミナ薄膜を形成した。次に加水分解シランカップリング剤を添加したポリビニルアルコール水溶液を塗布乾燥してコーティング層を形成した。得られたフィルムはアルミニウム蒸着フィルムと同等のバリア性を示しながら透明性を保持した。,1
JP2020-001004,食品包装用バリアフィルム,食品の鮮度保持に適した酸素バリア性と水蒸気バリア性に優れた包装用フィルムおよびその製造方法に関する。,基材フィルムと、無機酸化物蒸着層と、ポリビニルアルコール系樹脂および無機板状粒子を含むバリアコート層とを有することを特徴とする食品包装用バリアフィルム。バリアコート層のポリビニルアルコールのケン化度が98%以上である請求項1記載の食品包装用バリアフィルム。,ポリプロピレンフィルム基材上に酸化アルミニウムを蒸着した。ポリビニルアルコール（ケン化度99%）水溶液に合成スメクタイト（ラポナイト）を分散させ均一なコーティング液を調製した。グラビアコーター法で塗工乾燥して高バリアフィルムを得た。このフィルムの酸素透過率は0.5cc/m2/day/atm以下であった。,1
JP2020-001005,シリカ蒸着PETフィルム,シリカを蒸着したポリエチレンテレフタレートフィルムとコーティング層からなる透明なガスバリアフィルム。,酸化ケイ素蒸着層を有するポリエチレンテレフタレートフィルムと、ポリビニルアルコール系コーティング層とを積層してなることを特徴とするシリカ蒸着PETフィルム。コーティング層にイソシアネート系架橋剤を含む請求項1記載のシリカ蒸着PETフィルム。,ポリエチレンテレフタレートフィルム（厚さ12μm）に真空蒸着法にて酸化ケイ素を100nm成膜した。ポリビニルアルコール水溶液（PVA-124、クラレ製）に架橋剤（タケネート）を添加したコーティング液をバーコーターで塗布し乾燥した。得られたバリアフィルムはレトルト処理後も高いバリア性を維持した。,1
JP2020-002001,ポリプロピレン包装フィルム,二軸延伸ポリプロピレンフィルムを用いた汎用包装フィルム。防湿性と透明性に優れる。,二軸延伸ポリプロピレンフィルムを基材とし、一方の面にヒートシール層を設けた包装フィルム。表面にコロナ処理を施した請求項1記載の包装フィルム。,二軸延伸ポリプロピレンフィルム（20μm）の一方の面にコロナ放電処理を行い、反対面にポリエチレン系ヒートシール剤を塗工した。得られたフィルムはチョコレートやスナック菓子の包装に使用できる。,0
JP2020-002002,アルミニウム箔積層体,アルミニウム箔とポリエステルフィルムを積層した遮光性・バリア性に優れた包材。,アルミニウム箔とポリエステルフィルムを接着剤で積層してなる積層体。アルミニウム箔の厚さが9μm以上である請求項1記載の積層体。,ポリエステルフィルム（12μm）とアルミニウム箔（9μm）をドライラミネート法で貼り合わせた。ウレタン系接着剤を使用し40℃でエージング処理を行った。遮光性・ガスバリア性は優れるが金属探知機使用不可の欠点がある。,0
JP2020-002003,ポリ塩化ビニリデンコーティングフィルム,PVDCコーティングにより高いバリア性を付与したフィルム。,ポリエステル基材フィルムにポリ塩化ビニリデンを塗工したバリアフィルム。コーティング量が5g/m2以上である請求項1記載のバリアフィルム。,ポリエステルフィルム上にポリ塩化ビニリデン（サランレジン）エマルションをグラビアコーターで塗工した。塗工量を変えてバリア性への影響を評価した。塩素系であるため環境負荷が課題となっている。,0
JP2020-002004,エチレンビニルアルコール共重合体フィルム,EVOH樹脂を用いた高酸素バリア性フィルム。多層構造により耐湿性を改善。,エチレンビニルアルコール共重合体層をナイロン層と高密度ポリエチレン層で挟んだ多層フィルム。EVOH層のエチレン含量が25〜44モル%である請求項1記載の多層フィルム。,エチレン含量32モル%のEVOH樹脂（エバール）を共押出成形によりナイロン6/EVOH/LLDPE構成の多層フィルムを作製した。EVOH単独では高湿度条件でバリア性が低下するが多層構成で改善した。食品包装に広く使用されている。,0
JP2020-002005,生分解性包装フィルム,ポリ乳酸を基材とした生分解性の包装フィルムとその製造方法。,ポリ乳酸を主成分とする基材フィルムに、生分解性樹脂からなるコーティング層を設けた生分解性包装フィルム。コーティング層がポリヒドロキシアルカノエートを含む請求項1記載の生分解性包装フィルム。,ポリ乳酸フィルム（厚さ30μm）にポリヒドロキシブチレート/ポリヒドロキシバレレート共重合体のコーティング液を塗工した。得られたフィルムは土中埋設6ヶ月で完全分解した。酸素バリア性は通常のPVAコーティングより低い。,0
JP2020-002006,ナノコンポジットバリアフィルム,ナノクレイを分散させたポリビニルアルコールコーティングによる高バリア性フィルム。,基材フィルム上にナノクレイを含有するポリビニルアルコール系バリアコート層を設けてなるバリアフィルム。ナノクレイがモンモリロナイトであり、含有量が3〜15重量%である請求項1記載のバリアフィルム。,ナトリウムモンモリロナイト（クニピア-G）5重量%と完全ケン化ポリビニルアルコール（クラレPVA-117）をウォーターバス中で分散混合し均一なコーティング液を調製した。このコーティング液をポリエチレンテレフタレートフィルム上に塗布し乾燥した。得られたフィルムは優れた酸素バリア性を示したが水蒸気バリア性は不十分であった。,1
JP2020-002007,気相成長炭素薄膜コートフィルム,化学気相成長法（CVD）によるダイヤモンドライクカーボン薄膜をコートした高バリアフィルム。,化学気相成長法で形成したダイヤモンドライクカーボン薄膜を有するポリエステルフィルム基材からなるガスバリアフィルム。DLC薄膜の厚さが10〜200nmである請求項1記載のガスバリアフィルム。,PETフィルム基材上にプラズマCVD法によりダイヤモンドライクカーボン（DLC）薄膜（膜厚50nm）を形成した。DLC薄膜は硬度が高く耐傷性にも優れる。ガスバリア性は酸化ケイ素蒸着に比べやや低い。,0
